date,tx,tn,rf,sf,sm,pa
1987-03-02,0.42157838797647673,-2.741876995355855,0.350977603620242,2.5988624136228813,0.04832375106201172,96766.52328474938
1987-03-03,-2.6818343398174145,-8.168218986275269,0,0.9924635605491271,0.014505111967722384,98419.90046214007
1987-03-04,-0.97621756504163,-11.243405616033387,0.04230359047280483,0.058300746745839474,0.0005076597508209511,99727.99146818343
1987-03-05,2.152328454575164,-9.993778887144238,0,0,0,99935.20796302879
1987-03-06,9.03537147866421,-7.319054397958646,0.012442232492001421,0,0.3301931427402501,99566.1393530039
1987-03-07,13.415250570715596,-0.17984358577267623,0.03732669747600426,0,40.16619140259215,98594.63917525773
1987-03-08,14.576857455633647,-0.33249200414899316,0,0.0004265908346538903,42.13941165642744,97994.4009953786
1987-03-09,-6.048915739886667,-11.125133294038742,0,0.003234980562340946,1.553140127281383,98449.9075719872
1987-03-10,-6.150551031969045,-17.266121614797235,0.0007465339791846793,0,0,99912.15072875933
1987-03-11,-2.3720582870457294,-15.116885892784643,0.004976892996800568,0,0,99912.30714539638
1987-03-12,1.2365801603719724,-9.333522927155073,0,0.03533594080383058,0,99293.18165659439
1987-03-13,1.1227159611814563,-8.607856392563766,0,0.006043370067543548,0,99382.77284038393
1987-03-14,1.6895485287495793,-9.915321714548382,0,0,0,99045.71276217561
1987-03-15,3.255918953455177,-8.721862800596789,0,0,0,99369.48098115891
1987-03-16,3.543263413157702,-8.310700329266279,0,0,0,99672.91859225027
1987-03-17,6.297938143448435,-5.481905453492431,0,0,0.018559157640674798,99463.84287237824
1987-03-18,8.387735544808853,-6.1998933513436585,0,0,0.3621432375211268,99300.58300746533
1987-03-19,8.850622110675333,-4.155527891720312,0,0,4.291050574088786,98758.93352292926
1987-03-20,6.842339114959749,-2.2931034440327656,0,0,4.137916239302177,98370.8282971916
1987-03-21,9.509776017778588,-2.496089577833783,0,0,8.504270172544178,98391.32598649128
1987-03-22,13.45264841236341,-0.548027021342268,0,0,14.994567361886553,98494.52897262709
1987-03-23,14.788162139569828,-1.6398862378001,0,0,11.69468778833169,98817.97013864202
1987-03-24,15.723000336235797,-0.9351937447499432,0.1848915764499804,0,6.565694690974921,98591.99431212229
1987-03-25,12.353572684083593,2.584998219111425,5.845787416111944,0,0.8934654893910156,98003.07145396374
1987-03-26,7.497333805797535,3.8965161929044103,1.5543903319586905,0,0.05442799202480118,97491.06647707074
1987-03-27,9.595236381601278,2.5798435881601463,0.4814433035607275,0,0.005639381766715161,98224.66050479915
1987-03-28,12.448951286223704,1.9509775921877195,0.011660149591781896,0,0,98460.65055101315
1987-03-29,15.39040176596372,1.3204408135626649,6.995200826700709,0,0,98611.46107358692
1987-03-30,7.12090295097644,1.2861002495295841,12.332136432502857,8.236011394011859,4.908211479440695,97478.25808745112
1987-03-31,-2.5363668675259303,-6.043192330349225,0.22929256713733612,11.071134049401689,0.0004897798273155245,96840.80696765019
1987-04-01,1.434553847879627,-9.21261999101093,0.2184145022574329,4.056132250781633,0.0007545635961509472,98004.71027372911
1987-04-02,3.1800213182180155,-1.9256665309552743,0.17049413383367262,1.3395662933927053,0.001973209740413304,97435.13686455741
1987-04-03,2.889406330298157,-3.7476004275231443,0.4902595101494489,0.03057234311841198,0.008857474375040668,98597.45111980093
1987-04-04,6.777177397568286,-2.7179523605735456,13.79751160082934,0.07063633241646662,2.5831963397615665,98606.23889086385
1987-04-05,8.10849631235263,3.2525773200961647,5.255918935571664,0,16.56743864309673,98234.84536082474
1987-04-06,12.839246333556543,5.665623914038546,1.8647707064053023,0,1.5488654546458869,98117.71773906861
1987-04-07,14.546924990773666,4.901386424480618,0.043583362441744364,0,0,97732.15072875933
1987-04-08,11.388482061264737,0.6508709605699793,0.0014219694276573053,0,0,97805.84784927125
1987-04-09,15.399395674181035,0.14141485965362105,0,0,0,97855.28617134731
1987-04-10,19.975079894108234,1.0749022392506409,0,0,0,97682.94347671526
1987-04-11,19.309740535059394,2.818734440204303,0.46164237571978883,0,0,97593.45894063277
1987-04-12,12.412584432282568,3.1855670136147616,4.110878053516245,0,0,97747.24493423391
1987-04-13,16.42026309750066,3.704870249891976,0.013011020700617104,0,0,98626.82189832919
1987-04-14,16.881834228480365,3.577746176016191,3.0745822846084314,0,0,98990.3697120512
1987-04-15,16.20366162572346,8.141450396984276,0.40266619673031234,0,0,98329.12904372557
1987-04-16,15.560327008488422,7.602915078348593,0.026946320960286922,0,0,98150.4834696054
1987-04-17,17.53483820487035,7.158976205506445,0.0009242801417500957,0,0,97913.09633842872
1987-04-18,20.276821868766298,7.1321364905204465,0,0,0,98279.08638464272
1987-04-19,24.373906848526406,7.016245987251735,0,0,0,98842.57731958762
1987-04-20,26.223142533042953,9.669534293689043,0,0,0,98956.03981514397
1987-04-21,26.264841783525593,9.440241723648814,0.06413082126362486,0,0,98526.06825453253
1987-04-22,13.959935978219216,3.514610732656927,0.27056523715203823,0,0,99002.42445787415
1987-04-23,16.078172780676663,8.071062927605459,1.3480270162007582,0,0,98132.77284038393
1987-04-24,12.302879465037378,4.528652678932789,0,0,0,99017.73195876289
1987-04-25,14.265695030478197,-0.977390684894595,0,0,0,99605.2292925702
1987-04-26,15.616032686853934,4.646605048703418,0,0,0,99541.10913615357
1987-04-27,15.189904029878738,1.2171702779355398,10.257163172053392,0,0,98466.26377532883
1987-04-28,8.161500187137142,2.6087451098103394,4.471916080262794,0,0,97794.15215072875
1987-04-29,14.582758624486724,0.41393530650618576,2.850017767443252,0.033842871801903186,0.03384287180190318,97045.72342694632
1987-04-30,9.14408104961299,1.8003554885344195,0.1751510839666966,0.004834696126077423,0.004834696126077423,97544.5503021685
1987-05-01,14.101173121184164,0.485638110910685,0,0,0,97880.30572342695
1987-05-02,13.338748661343669,-0.06007820999245181,0,0,0,97975.61322431568
1987-05-03,13.25574117498469,-0.27955918774734473,0,0,0,98811.38642019196
1987-05-04,13.976039776630856,0.40760753869512434,0,0,0,99683.73977959473
1987-05-05,18.9183077786768,-0.05339495396957336,0,0,0,99407.4191254888
1987-05-06,21.739139684357763,2.5985780259150015,0,0,0,98440.75008887309
1987-05-07,14.869320995562703,5.93764665310721,0,0,0,98306.63348738002
1987-05-08,16.870494161769244,-0.0707429814573882,0.00021329542262419406,0,0,98557.05652328474
1987-05-09,25.47991467912215,5.936260247120347,0.08645574192304947,0,0,97967.40135087096
1987-05-10,22.612833303783102,11.504443657851668,1.3980092341010781,0,0,98080.09953785993
1987-05-11,24.030501261581275,9.2022040445441,3.698542487078869,0,0,97929.05083540703
1987-05-12,14.801208661876451,5.6521507213008055,0.027266264088925966,0,0,98447.6039815144
1987-05-13,18.663704123905532,1.3086740111212394,0,0,0,99376.44863135443
1987-05-14,24.552435172820406,7.313899763360212,15.521471698810483,0,0,98523.0181301102
1987-05-15,14.450764310262485,7.057767521050999,0.05382154292370389,0,0,98665.01599715606
1987-05-16,19.57397796571191,1.940312824065347,0.20405260988647217,0,0,98936.32420902951
1987-05-17,25.373693554332746,9.541912572815288,0.14703164012076972,0,0,98236.67970138643
1987-05-18,13.735371498463207,9.304230377591889,0.5836473568569415,0,0,98535.83362957697
1987-05-19,16.6173480210506,7.010771429076807,0.330643446334011,0,0,98869.29968005688
1987-05-20,14.832882981854658,10.235300420740089,0.31361535686828723,0,0,98875.49946676147
1987-05-21,21.801102132759947,10.426128666128843,5.801386399637581,0,0,98959.80803412727
1987-05-22,24.965446197558585,14.02733737228182,2.4629932516120396,0,0,98591.94454319232
1987-05-23,15.059082840500123,10.458336298549638,1.0192321435893679,0,0,98805.49591183789
